,accuracy_without_temperatures,accuracy_with_temperatures,deviation_without_temperatures,deviation_with_temperatures,calculation_time_without_temperatures,calculation_time_with_temperatures,WAIC_without_temperatures,WAIC_time_with_temperatures
0,97.77777777777777,93.33333333333333,0.05725308641975309,0.03904320987654321,455.9797873497009,393.56803464889526,245.01471835606043,518.671257022571
1,91.11111111111111,93.33333333333333,0.05632716049382716,0.03904320987654321,451.308940410614,387.8130967617035,238.70326973444438,474.19806347626684
2,95.55555555555556,93.33333333333333,0.06373456790123457,0.04058641975308642,525.9767196178436,390.0967524051666,244.1398028049893,561.7829776126002
3,95.55555555555556,95.55555555555556,0.05694444444444444,0.038425925925925926,468.90785574913025,389.58742475509644,232.672292754036,437.7849398847035
4,86.66666666666667,100.0,0.06805555555555555,0.04490740740740741,466.91446018218994,401.2781388759613,255.39077364025837,568.0417912498829
5,84.44444444444444,77.77777777777779,0.06435185185185185,0.056635802469135806,439.2510621547699,397.735187292099,265.6476881597212,655.0592979407447
6,91.11111111111111,95.55555555555556,0.05262345679012346,0.034722222222222224,443.3830051422119,399.129515171051,240.81477377291498,520.8966803918154
7,97.77777777777777,97.77777777777777,0.06682098765432098,0.041512345679012345,452.85975432395935,403.8443992137909,241.61298841553796,569.9114654889703
8,91.11111111111111,91.11111111111111,0.06373456790123457,0.04058641975308642,415.8346264362335,396.2998368740082,244.11367593467838,592.9904157591841
9,80.0,91.11111111111111,0.05478395061728395,0.03966049382716049,485.31440925598145,397.1928508281708,262.7162320396506,601.4103796408601
10,93.33333333333333,95.55555555555556,0.05416666666666667,0.03441358024691358,489.7694408893585,400.9004764556885,246.2378778799783,529.5122643504278
11,93.33333333333333,95.55555555555556,0.0625,0.03348765432098765,450.96650409698486,401.19849467277527,232.8887033164577,566.2633006935672
12,86.66666666666667,86.66666666666667,0.055092592592592596,0.04274691358024691,415.7018082141876,392.244873046875,259.21845669090976,666.1868851061381
13,97.77777777777777,97.77777777777777,0.06373456790123457,0.03935185185185185,467.08613777160645,394.8077988624573,246.86134695080116,570.7312703949328
14,86.66666666666667,84.44444444444444,0.06620370370370371,0.05416666666666667,520.110741853714,400.3172490596771,260.44591167436226,598.9917567831316
15,91.11111111111111,88.88888888888889,0.05015432098765432,0.0375,471.2327995300293,400.49047660827637,252.92880921808202,580.7769332652099
16,82.22222222222221,91.11111111111111,0.06527777777777778,0.05725308641975309,452.4731307029724,395.0476858615875,265.98053522900597,589.5214179663011
17,93.33333333333333,93.33333333333333,0.062191358024691355,0.047685185185185185,502.82260155677795,389.9697594642639,249.45862035534222,529.4525260853965
18,86.66666666666667,88.88888888888889,0.04830246913580247,0.03194444444444444,505.8838675022125,396.9405312538147,235.82357711043664,463.0359972078693
19,93.33333333333333,91.11111111111111,0.06188271604938272,0.04521604938271605,531.0562679767609,400.1578063964844,229.6248797632769,447.1428548157733
20,91.11111111111111,86.66666666666667,0.06527777777777778,0.058179012345679015,509.0389213562012,403.6680865287781,269.4225691552751,622.3829988780204
21,91.11111111111111,93.33333333333333,0.05478395061728395,0.04212962962962963,445.0651910305023,400.0689311027527,251.04487538618906,516.9900619552867
22,82.22222222222221,93.33333333333333,0.0587962962962963,0.04058641975308642,506.26172041893005,399.8104090690613,260.4872821338217,543.9273206074221
23,97.77777777777777,91.11111111111111,0.06867283950617284,0.04367283950617284,412.71958589553833,401.4334034919739,239.16612990399034,534.1108719931561
24,84.44444444444444,86.66666666666667,0.05725308641975309,0.04521604938271605,436.4073152542114,403.21644854545593,256.5734940787477,604.3276290174408
25,86.66666666666667,91.11111111111111,0.0625,0.043055555555555555,543.9802737236023,405.07337951660156,254.59025348904495,536.0353630231417
26,93.33333333333333,88.88888888888889,0.04891975308641975,0.031635802469135804,413.7123317718506,401.9271709918976,241.5193023174914,516.8806314735474
27,91.11111111111111,95.55555555555556,0.058179012345679015,0.03132716049382716,478.2105116844177,395.85833048820496,231.65924557533143,458.8943815293978
28,93.33333333333333,95.55555555555556,0.06805555555555555,0.04675925925925926,550.9738757610321,402.5540187358856,251.3504886217362,496.6396627435247
29,95.55555555555556,95.55555555555556,0.06157407407407407,0.0412037037037037,493.37718749046326,398.9184274673462,238.6200225552165,527.1955840264081
30,86.66666666666667,95.55555555555556,0.056635802469135806,0.04398148148148148,444.4306650161743,399.3160448074341,260.88263270916013,521.5025213123265
31,84.44444444444444,93.33333333333333,0.05848765432098765,0.04429012345679012,444.3902533054352,400.534451007843,248.67334854546192,533.5712239353785
32,88.88888888888889,95.55555555555556,0.06033950617283951,0.034722222222222224,461.03091764450073,398.38306856155396,238.47850346966536,579.4603661040463
33,95.55555555555556,95.55555555555556,0.06003086419753086,0.041512345679012345,501.9909391403198,396.8400101661682,241.42433922845657,488.3679966367767
34,86.66666666666667,86.66666666666667,0.04429012345679012,0.033179012345679014,425.7534730434418,396.4337465763092,258.9504478838113,657.2180635735373
35,91.11111111111111,100.0,0.06558641975308642,0.04490740740740741,409.32043409347534,403.6471269130707,255.1945469518911,561.3801496277537
36,91.11111111111111,91.11111111111111,0.05138888888888889,0.03904320987654321,491.48520612716675,401.5137414932251,244.4506398271131,455.69856024423626
37,91.11111111111111,93.33333333333333,0.06898148148148148,0.04830246913580247,474.20134472846985,399.18316888809204,235.85579914822023,434.6717527414365
38,100.0,100.0,0.07484567901234568,0.05169753086419753,498.079452753067,399.602178812027,220.5701359653683,436.443710344344
39,93.33333333333333,95.55555555555556,0.05787037037037037,0.04089506172839506,408.5504868030548,397.5272071361542,256.2023531465578,621.5574147858944
40,93.33333333333333,95.55555555555556,0.056018518518518516,0.03657407407407407,449.9441645145416,403.1717119216919,228.54315183896466,472.2224663872992
41,95.55555555555556,97.77777777777777,0.06373456790123457,0.038425925925925926,473.7731547355652,408.5270903110504,250.8166593790475,541.9295796455781
42,88.88888888888889,95.55555555555556,0.06157407407407407,0.050771604938271604,435.5516924858093,401.0491056442261,241.65343169125174,564.2651913370528
43,93.33333333333333,95.55555555555556,0.06003086419753086,0.04583333333333333,450.78707480430603,405.4828882217407,252.23794457292146,547.0718773820695
44,91.11111111111111,97.77777777777777,0.06003086419753086,0.043055555555555555,443.12035036087036,402.60383224487305,241.32912178997046,560.0200106751497
45,86.66666666666667,88.88888888888889,0.052006172839506176,0.04521604938271605,451.8220634460449,403.8034715652466,265.8314380907532,540.346985388998
46,84.44444444444444,84.44444444444444,0.06342592592592593,0.05570987654320988,473.1008162498474,395.3892035484314,242.51880969996483,549.8168272762869
47,91.11111111111111,97.77777777777777,0.06466049382716049,0.0433641975308642,421.8786838054657,403.93892073631287,220.97275349694377,443.28735945241016
48,97.77777777777777,93.33333333333333,0.06589506172839506,0.043055555555555555,458.88996171951294,400.02998065948486,255.18746043952194,563.7856005038373
49,93.33333333333333,95.55555555555556,0.05632716049382716,0.035339506172839506,516.3725430965424,396.19017720222473,233.45052591827505,451.79827089756213
